date_and_time,type,description,street_address,city,state,zip,latitude,longitude
03/03/2012 10:05:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY,FIRST & JOHN,URBANA,IL,,40.109007,-88.238682
03/03/2012 12:25:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA: POSSESSION PROHIBITED ON PUBLIC PROPERTY,FOURTH ST & GREEN ST,URBANA,IL,,40.110261,-88.233542
03/02/2012 12:20:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,ARMORY & FOURTH,URBANA,IL,,40.105413,-88.233452
03/02/2012 04:35:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA CARRYING OPEN LIQUOR OUTSIDE OF PREMISES,THIRD ST & GREEN ST,URBANA,IL,,40.110245,-88.235385
03/02/2012 12:27:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA OPEN LIQUOR,SECOND & ARMORY,URBANA,IL,,40.105394,-88.236997
03/02/2012 01:10:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHAL PUB PROP,FIRST & JOHN,URBANA,IL,,40.109007,-88.238682
03/02/2012 01:46:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROPERTY,FIRST & JOHN,URBANA,IL,,40.109007,-88.238682
03/02/2012 10:39:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,FIRST & ARMORY,URBANA,IL,,40.105387,-88.238644
03/02/2012 11:45:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,BLK OF CHALMERS E,URBANA,IL,,40.10652,-88.24029399999999
03/02/2012 03:43:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSSESSION PUBLIC PROPERTY,SECOND ST & JOHN ST,URBANA,IL,,40.109021999999996,-88.237027
03/25/2012 02:09:00 AM,[UIPD] BATTERY,BATTERY                            <BR/><BR/>OFFICERS WITNESSED A FIGHT IN PROGRESS. ON SUSPECT WAS ARRES TED.,JOHN STREET E & FIFTH STREET,URBANA,IL,,40.109066999999996,-88.232019
