,incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
56,101607252,II1200450,03/03/2012 10:05:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA--POSSESSION OF ALCOHOL ON PUBLIC PROPERTY,,FIRST & JOHN,,URBANA,IL,,,40.109007,-88.238682,03/04/2012 01:50:02 PM,03/04/2012 01:50:03 PM,POINT (-88.238682 40.109007),22,Saturday,Liquor,206477.0
67,102159176,II1200445,03/03/2012 12:25:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA: POSSESSION PROHIBITED ON PUBLIC PROPERTY,,FOURTH ST & GREEN ST,,URBANA,IL,,,40.110261,-88.233542,03/08/2012 06:45:02 AM,03/08/2012 06:45:03 AM,POINT (-88.233542 40.110261),0,Saturday,Liquor,206477.0
68,102159178,II1200423,03/02/2012 12:20:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,,ARMORY & FOURTH,,URBANA,IL,,,40.105413,-88.233452,03/08/2012 06:45:02 AM,03/08/2012 06:45:04 AM,POINT (-88.233452 40.105413),12,Friday,Liquor,206477.0
69,102159179,II1200435,03/02/2012 04:35:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA CARRYING OPEN LIQUOR OUTSIDE OF PREMISES,,THIRD ST & GREEN ST,,URBANA,IL,,,40.110245,-88.235385,03/08/2012 06:45:02 AM,03/08/2012 06:45:04 AM,POINT (-88.235385 40.110245),16,Friday,Liquor,206477.0
70,102159180,II1200424,03/02/2012 12:27:00 PM,[UIPD] CARRYING OUT OF PREMISE,CARRYING OUT OF PREMISE            <BR/><BR/> NTA OPEN LIQUOR,,SECOND & ARMORY,,URBANA,IL,,,40.105394,-88.236997,03/08/2012 06:45:02 AM,03/08/2012 06:45:04 AM,POINT (-88.236997 40.105394),12,Friday,Liquor,206477.0
72,102159186,II1200428,03/02/2012 01:10:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHAL PUB PROP,,FIRST & JOHN,,URBANA,IL,,,40.109007,-88.238682,03/08/2012 06:45:02 AM,03/08/2012 06:45:05 AM,POINT (-88.238682 40.109007),13,Friday,Liquor,206477.0
73,102159188,II1200429,03/02/2012 01:46:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROPERTY,,FIRST & JOHN,,URBANA,IL,,,40.109007,-88.238682,03/08/2012 06:45:02 AM,03/08/2012 06:45:05 AM,POINT (-88.238682 40.109007),13,Friday,Liquor,206477.0
75,102159192,II1200419,03/02/2012 10:39:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,,FIRST & ARMORY,,URBANA,IL,,,40.105387,-88.238644,03/08/2012 06:45:02 AM,03/08/2012 06:45:06 AM,POINT (-88.238644 40.105387),10,Friday,Liquor,206477.0
77,102159197,II1200421,03/02/2012 11:45:00 AM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSS ALCOHOL PUB PROP,,BLK OF CHALMERS E,,URBANA,IL,,,40.10652,-88.24029399999999,03/08/2012 06:45:02 AM,03/08/2012 06:45:06 AM,POINT (-88.240294 40.10652),11,Friday,Liquor,206477.0
78,102159199,II1200433,03/02/2012 03:43:00 PM,[UIPD] POSS ALCOHOL PUB PROP / PARKING LOT,POSS ALCOHOL PUB PROP / PARKING LOT<BR/><BR/> NTA POSSESSION PUBLIC PROPERTY,,SECOND ST & JOHN ST,,URBANA,IL,,,40.109021999999996,-88.237027,03/08/2012 06:45:02 AM,03/08/2012 06:45:07 AM,POINT (-88.237027 40.109022),15,Friday,Liquor,206477.0
