incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
144271513,II1300342,02/24/2013 02:30:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST PROPERTY,,GREEN ST W & BUSEY AVE,,URBANA,IL,null,null,40.110613,-88.217727,02/26/2013 03:35:02 PM,02/26/2013 03:35:03 PM,POINT (-88.217727 40.110613),2,Sunday,Other,206477
258421836,II1301866,10/01/2013 01:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST PROPERTY-WALLET,,null,,Urbana,IL,null,null,0,0,10/03/2013 02:15:55 PM,10/03/2013 02:15:55 PM,,13,Tuesday,Other,
340146017,II1400053,01/14/2014 04:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST WALLET,,300 Block BROADWAY AVE S,,URBANA,IL,61801,null,40.110634,-88.207179,01/16/2014 05:31:31 PM,01/16/2014 05:31:31 PM,POINT (-88.207179 40.110634),16,Tuesday,Other,
592856696,II1401983,10/24/2014 11:45:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST SAMSUNG GALAXY 4,,700 Block GOODWIN S,,URBANA,IL,null,null,40.1065,-88.2237,10/26/2014 06:37:56 PM,10/26/2014 06:35:09 PM,POINT (-88.2237 40.1065),23,Friday,Other,206477
80859208,II1101667,09/15/2011 01:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST KEYS,,BLK OF,,URBANA,IL,null,null,40.112777,-88.222462,09/16/2011 02:45:03 PM,09/16/2011 02:45:03 PM,POINT (-88.222462 40.112777),13,Thursday,Other,206477
127999871,II1201829,09/30/2012 01:36:00 AM,[UIPD] MIP,MIP                                <BR/><BR/> NTA FOR MIP,,FOURTH ST S & CHALMERS ST,,URBANA,IL,null,null,40.106815,-88.233475,10/01/2012 04:55:02 PM,10/01/2012 04:55:02 PM,POINT (-88.233475 40.106815),1,Sunday,Other,206477
139062738,II1300023,01/07/2013 12:01:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST PARKING TAG,,400 Block BRADLEY AVE W,,URBANA,IL,null,null,40.127187,-88.248548,01/10/2013 08:05:02 PM,01/10/2013 08:05:03 PM,POINT (-88.248548 40.127187),0,Monday,Other,
244712584,II1301706,09/15/2013 12:54:00 AM,[UIPD] MIP,MIP                                <BR/><BR/> NTA--MIP,,500 Block JOHN E,,URBANA,IL,61820,null,40.1090811,-88.2320025,09/16/2013 03:25:51 PM,09/16/2013 03:25:51 PM,POINT (-88.232002 40.109081),0,Sunday,Other,206477
244712585,II1301654,09/10/2013 02:44:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,"""ASSIST OTHER POLICE DEPT           <BR/><BR/>RESPONDED TO ASSIST URBANA PD WITH BANK ROBBERY; ASSISTED UPD AND CCSO WITH THE APPREHENSION OF SUSPECTS DURING A FELONY TRAFFIC STOP ON I-74, NEAR OGDEN OVERPASS.""",,I-74 & MM 196,,URBANA,IL,null,null,40.1105875,-88.2072697,09/16/2013 03:25:51 PM,09/16/2013 03:25:51 PM,POINT (-88.20727 40.110588),14,Tuesday,Other,
245791010,II1301712,09/15/2013 10:17:00 PM,[UIPD] OPERATE UNINSURED MOTOR VEHICLE,OPERATE UNINSURED MOTOR VEHICLE    <BR/><BR/>VEHICLE WAS STOPPED FOR TRAFFIC VIOLATION.  DRIVER WAS SUBSE QUENTLY ARRESTED FOR A VALID CITY OF URBANA WARRANT AND WAS ALSO ISSUED TWO IVC'S.  VEHICLE WAS TOWED,,GREEN ST & WRIGHT ST,,URBANA,IL,61820,null,40.1103024,-88.2288748,09/17/2013 01:43:04 PM,09/17/2013 01:43:04 PM,POINT (-88.228875 40.110302),22,Sunday,Traffic,206477
245791011,II1301720,09/13/2013 03:30:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> A BICYCLE WAS STOLEN FROM OUTSIDE OF SCOTT HALL,,200 Block PEABODY DR E,,URBANA,IL,61820,null,40.1014658,-88.2373546,09/17/2013 01:43:04 PM,09/17/2013 01:43:04 PM,POINT (-88.237355 40.101466),15,Friday,Theft,206477
247160181,II1301719,09/13/2013 03:45:00 PM,[UIPD] BURGLARY RESIDENTIAL,BURGLARY RESIDENTIAL               <BR/><BR/>RP BELIEVES SOMEONE ENTERED HER SECURED DORM ROOM AND STOLE HER SAMSUNG TABLET.,,900 Block FIFTH S,,URBANA,IL,61820,null,40.1079451,-88.2319901,09/18/2013 05:30:51 PM,09/18/2013 05:30:51 PM,POINT (-88.23199 40.107945),15,Friday,Breaking & Entering,206477
247160182,II1301728,09/17/2013 04:00:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> A BICYCLE WAS STOLEN FROM LOOMIS LABORATORY OF PHYSICS.,,1100 Block GREEN ST W,,URBANA,IL,61801,null,40.1105879,-88.222122,09/18/2013 05:30:51 PM,09/18/2013 05:30:51 PM,POINT (-88.222122 40.110588),16,Tuesday,Theft,206477
247160183,II1301726,09/17/2013 07:37:00 PM,[UIPD] OPERATE UNINSURED MOTOR VEHICLE,"""OPERATE UNINSURED MOTOR VEHICLE    <BR/><BR/>VEHICLE WAS STOPPED FOR EXPIRED REGISTRATION. DRIVER WAS ISS UED CITATIONS FOR EXPIRED REGISTRATION, IMPROPER USE OF REGI STRATION, AND OPERATING UNINSURED VEHICLE.""",,BLK OF KIRBY E,,URBANA,IL,null,null,40.1105875,-88.2072697,09/18/2013 05:30:51 PM,09/18/2013 05:30:51 PM,POINT (-88.20727 40.110588),19,Tuesday,Traffic,
247160184,II1301724,09/17/2013 08:00:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST KEY,,1200 Block GREEN ST W,,URBANA,IL,61802,null,40.1109154,-88.1945536,09/18/2013 05:30:51 PM,09/18/2013 05:30:51 PM,POINT (-88.194554 40.110915),8,Tuesday,Other,
247963015,II1301734,09/18/2013 05:19:00 PM,[UIPD] THEFT-RETAIL,THEFT-RETAIL                       <BR/><BR/>SUBJECT WAS ARRESTED FOR RETAIL THEFT FROM THE ILLINI UNION BOOKSTORE,,800 Block WRIGHT ST S,,URBANA,IL,61801,null,40.1192921,-88.2287796,09/19/2013 04:55:50 PM,09/19/2013 04:55:50 PM,POINT (-88.22878 40.119292),17,Wednesday,Theft,
247963016,II1301739,09/18/2013 09:00:00 AM,[UIPD] CRIMINAL DAMAGE GOVT SUPPORT PROP,CRIMINAL DAMAGE GOVT SUPPORT PROP  <BR/><BR/> CRIMINAL DAMAGE OCCURRED AT AN APARTMENT IN ORCHARD DOWNS.,,1900 Block ORCHARD S,,URBANA,IL,61801,null,40.0948374,-88.212882,09/19/2013 04:55:50 PM,09/19/2013 04:55:50 PM,POINT (-88.212882 40.094837),9,Wednesday,Property Crime,206477
247963018,II1301733,09/10/2013 10:00:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST WALLET,,2600 Block BRADLEY W,,URBANA,IL,61802,null,40.1305524,-88.1946606,09/19/2013 04:55:50 PM,09/19/2013 04:55:50 PM,POINT (-88.194661 40.130552),10,Tuesday,Other,
247963019,II1301740,09/19/2013 12:22:00 AM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/>TWO INDIVIDUALS WERE ISSUED LETTERS OF NO TRESPASS TO UIUC P ROPERTY AND STATE NTA'S FOR THEFT OF A BICYCLE.,,1000 Block GREEN W,,URBANA,IL,61801,null,40.1105883,-88.2220708,09/19/2013 04:55:50 PM,09/19/2013 04:55:50 PM,POINT (-88.222071 40.110588),0,Thursday,Theft,206477
248733835,II1301753,09/16/2013 05:00:00 PM,[UIPD] TRESPASS NOTICE,TRESPASS NOTICE                    <BR/><BR/>SUBJECT SHALL BE ISSUED A TRESPASS LETTER FOR DISORDERLY CON DUCT. ***LETTER TO BE ISSUED***,,1200 Block FOURTH ST S,,URBANA,IL,61820,null,40.1030496,-88.2333969,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.233397 40.10305),17,Monday,Other,206477
113637692,II1201043,05/25/2012 06:39:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> OFFICER RESPONDED TO ARC IN REFERENCE TO A THEFT.,,PEABODY E & FIRST ST.,,URBANA,IL,null,null,40.101447,-88.236601,05/29/2012 02:15:02 PM,05/29/2012 02:15:03 PM,POINT (-88.236601 40.101447),18,Friday,Theft,206477
248733836,II1301721,08/01/2013 07:00:00 AM,[UIPD] OTHER TROUBLE/INFO RPT,OTHER TROUBLE/INFO RPT             <BR/><BR/>A STUDENT WANTED HER EX-BOYFRIEND TO STOP COMMUNICATING WITH HER.,,900 Block FIFTH S,,URBANA,IL,61820,null,40.1079451,-88.2319901,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.23199 40.107945),7,Thursday,Other,206477
248733837,II1301743,09/18/2013 05:00:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF WALLET,,1300 Block OAK S,,URBANA,IL,61820,null,40.0981822,-88.2414305,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.24143 40.098182),17,Wednesday,Theft,206477
248733839,II1301745,09/18/2013 02:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST ICARD AND DEBIT CARD,,800 Block WRIGHT S,,URBANA,IL,61801,null,40.1192921,-88.2287796,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.22878 40.119292),14,Wednesday,Other,
248733841,II1301741,09/19/2013 03:30:00 AM,[UIPD] THEFT OVER,THEFT OVER                         <BR/><BR/>AN UNATTENDED COMPUTER WAS TAKEN FROM THE COMMON AREA OF TAF T HALL.,,1200 Block FOURTH S,,URBANA,IL,61820,null,40.1030496,-88.2333969,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.233397 40.10305),3,Thursday,Theft,206477
248733842,II1301744,09/18/2013 10:00:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> SUBJECT HAD BICYCLE STOLEN FROM BIKE RACKS AT SCOTT HALL,,200 Block PEABODY DR,,URBANA,IL,61820,null,40.1014658,-88.2373546,09/20/2013 02:20:51 PM,09/20/2013 02:20:51 PM,POINT (-88.237355 40.101466),22,Wednesday,Theft,206477
249733639,II1301757,09/20/2013 02:25:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF BICYCLE,,800 Block WRIGHT S,,URBANA,IL,61801,null,40.1192921,-88.2287796,09/21/2013 04:42:52 PM,09/21/2013 04:42:52 PM,POINT (-88.22878 40.119292),14,Friday,Theft,
249733640,II1301748,09/19/2013 11:00:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/>A CELL PHONE WAS MISPLACED AT FOELLINGER AUDITORIUM. GPS TRA CKING WAS UNABLE TO PROVIDE A SMALL ENOUGH RANGE TO SUCCESSF ULLY LOCATE THE DEVICE.,,700 Block MATHEWS AV S,,URBANA,IL,61801,null,40.1069729,-88.2254884,09/21/2013 04:42:52 PM,09/21/2013 04:42:52 PM,POINT (-88.225488 40.106973),11,Thursday,Other,206477
249733641,II1301762,09/18/2013 02:30:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF BICYCLE,,200 Block GOODWIN N,,URBANA,IL,61801,null,40.1148056,-88.223997,09/21/2013 04:42:52 PM,09/21/2013 04:42:52 PM,POINT (-88.223997 40.114806),14,Wednesday,Theft,206477
153744824,II1300930,05/11/2013 01:59:00 AM,[UIPD] MIP,MIP                                <BR/><BR/> NTA ISSUED FOR MIP,,300 Block GREEN ST E,,URBANA,IL,61802,null,40.1101187,-88.1736472,05/12/2013 02:45:02 PM,05/12/2013 02:45:03 PM,POINT (-88.173647 40.110119),1,Saturday,Other,
232444261,II1301523,08/28/2013 09:45:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST KEY,,1300 Block W SPRINGFIELD,,URBANA,IL,61801,null,40.1127406,-88.2282791,08/30/2013 12:25:44 PM,08/30/2013 03:43:40 PM,POINT (-88.228279 40.112741),9,Wednesday,Other,206477
236546073,II1301601,09/04/2013 05:00:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF WALLET,,200 Block PEABODY DR,,URBANA,IL,61820,null,40.1014658,-88.2373546,09/05/2013 05:05:45 PM,09/05/2013 05:12:46 PM,POINT (-88.237355 40.101466),17,Wednesday,Theft,206477
360481299,II1400237,02/10/2014 12:20:00 PM,[UIPD] THEFT UNDER,THEFT UNDER                        <BR/><BR/> THEFT OF A WALLET,,4800 Block 211TH ST,,URBANA,IL,null,null,40.1105875,-88.2072697,02/11/2014 08:36:39 PM,02/11/2014 08:36:39 PM,POINT (-88.20727 40.110588),12,Monday,Theft,
380226299,II1400417,03/01/2014 05:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST DL,,FIRST & GREEN,,URBANA,IL,61820,null,40.110217,-88.2386949,03/07/2014 04:01:47 PM,03/07/2014 04:01:47 PM,POINT (-88.238695 40.110217),17,Saturday,Other,206477
100027797,II1200329,02/14/2012 12:01:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST DRIVER'S LICENSE,,BLK OF,,URBANA,IL,null,null,40.112777,-88.222462,02/20/2012 06:05:02 PM,02/20/2012 06:05:13 PM,POINT (-88.222462 40.112777),0,Tuesday,Other,206477
100028290,II1200308,02/17/2012 01:57:00 AM,[UIPD] BURGLARY FROM MOTOR VEHICLE,BURGLARY FROM MOTOR VEHICLE        <BR/><BR/> FLAGGED DOWN ABOUT A BURGLARY FROM A MOTOR VEHICLE.,,JOHN E & SIXTH,,URBANA,IL,null,null,40.109079,-88.230367,02/20/2012 06:20:02 PM,02/20/2012 06:20:03 PM,POINT (-88.230367 40.109079),1,Friday,Theft from Vehicle,206477
100152632,II1200348,02/22/2012 01:56:00 AM,[UIPD] WARRANT-IN STATE,WARRANT-IN STATE                   <BR/><BR/> SUBJECT ARRESTED FOR URBANA CITY WARRANT.,,SIXTH STREET S & GREEN STREET,,URBANA,IL,61820,null,40.110288,-88.230391,02/22/2012 08:30:02 PM,02/22/2012 08:31:02 PM,POINT (-88.230391 40.110288),1,Wednesday,Other,206477
100152633,II1200343,02/16/2012 03:00:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES                      <BR/><BR/> LOST RING,,SECOND & JOHN,,URBANA,IL,null,null,40.109022,-88.237027,02/22/2012 08:30:02 PM,02/22/2012 08:31:02 PM,POINT (-88.237027 40.109022),3,Thursday,Other,206477
