,incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Illinois Police Department Patrol Boundary Shapes - i5tx-m5f3
1286,867523663,II1800903,08/17/2018 07:55:00 PM,[UIPD] BATTERY-AGGRAVATED,BATTERY-AGGRAVATED <BR/><BR/>FEMALE WAS SLAPPED BY MALE WHILE ON THE 600 BLOCK OF E GREEN ST IN CHAMPAIGN,,600 Block GREEN ST E,,URBANA,IL,,,40.1102,-88.2295,08/18/2018 12:02:02 PM,08/18/2018 12:02:02 PM,POINT (-88.2295 40.1102),19,Friday,Assault,206477.0
1303,867454214,II1800901,08/16/2018 05:01:00 PM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>WAS EN ROUTE TO A ROBBERY WHEN I OBSERVED A 10-50 AT UNIVERS ITY AND MCCULLOUGH.,,UNIVERSITY AVE & MCCULLOUGH,,URBANA,IL,,,40.1165,-88.2128,08/17/2018 01:02:14 PM,08/17/2018 01:02:37 PM,POINT (-88.2128 40.1165),17,Thursday,Other,206477.0
1320,879345708,II1801132,09/26/2018 12:30:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/>VICTIM REPORTED LOSING HER WALLET IN THE RED LION WHILE DANCING.,,200 Block GREEN ST W,,URBANA,IL,,,40.1099,-88.2356,09/28/2018 01:02:12 PM,09/28/2018 01:02:12 PM,POINT (-88.2356 40.1099),0,Wednesday,Other,206477.0
1328,843481674,II1800492,04/21/2018 01:55:00 AM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>UIPD OFFICERS RESPONDED TO ASSIST URBANA PD AT A SHOTS FIRED CALL.,,COLER AVE N & SPRINGFIELD AVE,,URBANA,IL,,,40.1099,-88.2272,04/23/2018 01:02:05 PM,04/23/2018 01:02:46 PM,POINT (-88.2272 40.1099),1,Saturday,Other,206477.0
1329,843733368,II1800496,04/22/2018 02:53:00 AM,[UIPD] DRIVING UNDER THE INFL-ALCOHOL,DRIVING UNDER THE INFL-ALCOHOL <BR/><BR/>A VEHICLE FAILED TO YIELD TO A MARKED URBANA POLICE CAR RESU LTING IN AN ACCIDENT. THE DRIVER WAS ARRESTED FOR DRIVING UN DER THE INFLUENCE OF ALCOHOL.,,WASHINGTON & SCOTTSWOOD,,URBANA,IL,61802.0,,40.105807500000004,-88.1735633,04/24/2018 07:02:08 PM,04/24/2018 07:02:50 PM,POINT (-88.1735633 40.1058075),2,Sunday,Traffic,
1337,855528699,II1800631,05/13/2018 03:00:00 AM,[UIPD] ASSIST OTHER POLICE DEPT,ASSIST OTHER POLICE DEPT <BR/><BR/>ASSISTED CHAMPAIGN POLICE DEPARTMENT WITH POLICE REPORT CH18-3854.,,600 Block GREEN ST E,,URBANA,IL,,,40.108000000000004,-88.2231,05/25/2018 01:02:12 PM,05/25/2018 01:02:12 PM,POINT (-88.2231 40.108),3,Sunday,Other,206477.0
1338,868024060,II1800909,08/17/2018 09:30:00 AM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/> INDIVIDUAL LOST IL IDENTIFICATION CARD AND FOID CARD,,1400 Block GREEN ST W,,URBANA,IL,,,40.1099,-88.2272,08/22/2018 04:02:11 PM,08/22/2018 04:02:58 PM,POINT (-88.2272 40.1099),9,Friday,Other,206477.0
1339,868024059,II1800906,08/20/2018 09:45:00 AM,[UIPD] OTHER TROUBLE/INFO RPT,OTHER TROUBLE/INFO RPT <BR/><BR/>MALE ATTEMPTING TO FLY OUT OF WILLARD AIRPORT DENIED AT CHEC K POINT DUE TO NOT HAVING PROPER IDENTIFICATION. THIS REPORT IS FOR INFORMATIONAL PURPOSES.,,BLK OF AIRPORT RD,,URBANA,IL,,,40.0364,-88.2638,08/22/2018 04:02:11 PM,08/22/2018 04:02:58 PM,POINT (-88.2638 40.0364),9,Monday,Other,
1350,868024061,II1800910,08/21/2018 03:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/>LOST IL DL SOMEWHERE BETWEEN THE ENGLISH BUILDING AND THE MC KINLEY FOUNDATION.,,600 Block WRIGHT ST S,,URBANA,IL,,,40.1076,-88.2285,08/22/2018 04:02:11 PM,08/22/2018 04:02:58 PM,POINT (-88.2285 40.1076),15,Tuesday,Other,206477.0
1357,879345706,II1801134,08/17/2018 12:00:00 PM,[UIPD] LOST ARTICLES,LOST ARTICLES <BR/><BR/>RP REPORTED THAT SHE LOST HER U OF I BUILDING KEY TO LOOMIS LAB.,,1100 Block SPRINGFIELD AVE W,,URBANA,IL,,,40.113,-88.2235,09/28/2018 01:02:12 PM,09/28/2018 01:02:12 PM,POINT (-88.2235 40.113),12,Friday,Other,206477.0
1358,855753531,II1800663,05/25/2018 05:00:00 PM,[UIPD] CRIMINAL DAMAGE GOVT SUPPORT PROP,CRIMINAL DAMAGE GOVT SUPPORT PROP <BR/><BR/> OFFICER RESPONDED TO A DAMAGED FENCE AT WILLARD AIRPORT.,,1600 Block OLD CHURCH RD W,,URBANA,IL,,,40.0546,-88.2707,05/28/2018 01:02:04 PM,05/28/2018 01:02:05 PM,POINT (-88.2707 40.0546),17,Friday,Property Crime,
1359,855753532,II1800664,05/26/2018 10:48:00 PM,[UIPD] DRIVING UNDER THE INFL-ALCOHOL,DRIVING UNDER THE INFL-ALCOHOL <BR/><BR/>DURING AN ILLINOIS STATE POLICE ROADSIDE SAFETY CHECK A MALE DRIVER WAS STOPPED FOR THE ODOR OF ALCOHOLIC BASED BEVERAGE S EMITTING FROM HIS VEHICLE. THE MALE DRIVER WAS ARRESTED FO R DRIVING UNDER THE INFLUENCE OF ALCOHOL.,,NEIL ST & EDGEBROOK DR,,URBANA,IL,,,40.1312,-88.2436,05/28/2018 01:02:04 PM,05/28/2018 01:02:04 PM,POINT (-88.2436 40.1312),22,Saturday,Traffic,
1397,854450556,II1800642,05/16/2018 05:06:00 PM,[UIPD] TRESPASS-STATE SUPPORTED LAND,TRESPASS-STATE SUPPORTED LAND <BR/><BR/>A SUBJECT WAS REPORTEDLY HARASSING PEOPLE AND ENGAGING IN DI SORDERLY CONDUCT ON THE MAIN QUAD. THE SUSPECT WAS LOCATED A ND DETERMINED TO HAVE A VALID NOTICE OF TRESPASS FROM ALL UI UC PROPERTY. THE SUSPECT WAS ISSUED A NOTICE TO APPEAR IN COURT FOR CRIMINAL TRESPASS AND ISSUED A NEW NOTICE OF TRESP ASS,,1400 Block GREEN ST W,,URBANA,IL,,,40.1095,-88.2273,05/17/2018 01:02:13 PM,05/17/2018 01:02:56 PM,POINT (-88.2273 40.1095),17,Wednesday,Other,206477.0
